Business_ID,Business_Category,Business_Sub_Category,Business_Type
BIZ-0001,Telecom,Mobile Operator,SME
BIZ-0002,Electronics,Electronics Accessories,Startup
BIZ-0003,E-Commerce,Online Marketplace,Social Enterprise
BIZ-0004,Electronics,Electronics Accessories,SME
BIZ-0005,Telecom,Device Reseller,SME
BIZ-0006,IT Services,Software Company,MNC
BIZ-0007,Transportation,Ride Sharing,SME
BIZ-0008,Education,E-Learning,SME
BIZ-0009,Garments & RMG,Accessories Supplier,SME
BIZ-0010,Transportation,Logistics,Large Enterprise
BIZ-0011,Transportation,Freight,SME
BIZ-0012,Transportation,Ride Sharing,Startup
BIZ-0013,Food & Beverage,Bakery,SME
BIZ-0014,Education,Vocational Training,Large Enterprise
BIZ-0015,Fashion & Apparel,Garments,SME
BIZ-0016,Banking & Finance,Bank,Large Enterprise
BIZ-0017,IT Services,Software Company,Large Enterprise
BIZ-0018,Garments & RMG,Knit Factory,SME
BIZ-0019,IT Services,Digital Marketing,Large Enterprise
BIZ-0020,Telecom,ISP,Large Enterprise
BIZ-0021,E-Commerce,Social Commerce,Startup
BIZ-0022,Transportation,Logistics,Startup
BIZ-0023,Retail,General Store,Social Enterprise
BIZ-0024,Telecom,Mobile Operator,Startup
BIZ-0025,Agriculture,Fish Farm,Social Enterprise
BIZ-0026,Agriculture,Agro Processing,Startup
BIZ-0027,Retail,General Store,Startup
BIZ-0028,Healthcare,Clinic,SME
BIZ-0029,Education,Coaching Center,Large Enterprise
BIZ-0030,Electronics,Home Appliances,SME
BIZ-0031,Real Estate,Land Broker,SME
BIZ-0032,IT Services,Digital Marketing,SME
BIZ-0033,Retail,Convenience Store,SME
BIZ-0034,Banking & Finance,Investment Firm,Social Enterprise
BIZ-0035,Retail,General Store,SME
BIZ-0036,Agriculture,Fertilizer Dealer,SME
BIZ-0037,Banking & Finance,Bank,Startup
BIZ-0038,Retail,Departmental Store,Large Enterprise
BIZ-0039,Education,University,Startup
BIZ-0040,Education,Vocational Training,SME
BIZ-0041,Education,Coaching Center,SME
BIZ-0042,Agriculture,Seed Company,SME
BIZ-0043,E-Commerce,B2C Platform,SME
BIZ-0044,Fashion & Apparel,Garments,Startup
BIZ-0045,Food & Beverage,Catering Service,MNC
BIZ-0046,Retail,Departmental Store,Startup
BIZ-0047,Transportation,Courier Service,SME
BIZ-0048,Electronics,Electronics Accessories,Large Enterprise
BIZ-0049,Electronics,Mobile Shop,Large Enterprise
BIZ-0050,Telecom,ISP,MNC
BIZ-0051,IT Services,Software Company,Social Enterprise
BIZ-0052,IT Services,Freelancing Agency,SME
BIZ-0053,E-Commerce,Social Commerce,Large Enterprise
BIZ-0054,Real Estate,Commercial Space,MNC
BIZ-0055,Transportation,Freight,Startup
BIZ-0056,Fashion & Apparel,Readymade Clothing,Social Enterprise
BIZ-0057,Agriculture,Fish Farm,SME
BIZ-0058,Real Estate,Housing Developer,Startup
BIZ-0059,Healthcare,Clinic,MNC
BIZ-0060,Food & Beverage,Catering Service,SME
BIZ-0061,E-Commerce,D2C Brand,SME
BIZ-0062,Fashion & Apparel,Readymade Clothing,MNC
BIZ-0063,Fashion & Apparel,Readymade Clothing,Startup
BIZ-0064,Fashion & Apparel,Accessories,Large Enterprise
BIZ-0065,Transportation,Freight,Large Enterprise
BIZ-0066,Transportation,Courier Service,Startup
BIZ-0067,Electronics,Home Appliances,Startup
BIZ-0068,Telecom,Mobile Operator,MNC
BIZ-0069,Electronics,Mobile Shop,Social Enterprise
BIZ-0070,Electronics,Mobile Shop,SME
BIZ-0071,E-Commerce,Online Marketplace,SME
BIZ-0072,IT Services,Web Development,SME
BIZ-0073,Agriculture,Agro Processing,SME
BIZ-0074,Electronics,Computer Store,SME
BIZ-0075,Real Estate,Property Management,SME
BIZ-0076,Garments & RMG,Woven Factory,SME
BIZ-0077,Retail,Departmental Store,SME
BIZ-0078,Telecom,ISP,SME
BIZ-0079,Healthcare,Medical Supplies,Startup
BIZ-0080,Banking & Finance,MFI,SME
BIZ-0081,Telecom,Recharge Shop,MNC
BIZ-0082,IT Services,Software Company,Startup
BIZ-0083,Healthcare,Diagnostic Center,MNC
BIZ-0084,Banking & Finance,Investment Firm,SME
BIZ-0085,Food & Beverage,Fast Food,Startup
BIZ-0086,Food & Beverage,Fast Food,SME
BIZ-0087,Food & Beverage,Restaurant,Startup
BIZ-0088,Retail,Grocery,Social Enterprise
BIZ-0089,Garments & RMG,Export Garments,Large Enterprise
BIZ-0090,E-Commerce,B2C Platform,MNC
BIZ-0091,Healthcare,Clinic,Large Enterprise
BIZ-0092,Real Estate,Housing Developer,SME
BIZ-0093,Real Estate,Property Management,Social Enterprise
BIZ-0094,IT Services,Freelancing Agency,Startup
BIZ-0095,Education,Coaching Center,Social Enterprise
BIZ-0096,Garments & RMG,Export Garments,Startup
BIZ-0097,Food & Beverage,Catering Service,Large Enterprise
BIZ-0098,Healthcare,Pharmacy,MNC
BIZ-0099,Telecom,Recharge Shop,SME
BIZ-0100,Healthcare,Diagnostic Center,SME
BIZ-0101,Fashion & Apparel,Readymade Clothing,Large Enterprise
BIZ-0102,Food & Beverage,Catering Service,Social Enterprise
BIZ-0103,Banking & Finance,MFI,Social Enterprise
BIZ-0104,Food & Beverage,Catering Service,Startup
BIZ-0105,IT Services,Freelancing Agency,Social Enterprise
BIZ-0106,Healthcare,Pharmacy,Startup
BIZ-0107,Retail,Convenience Store,Large Enterprise
BIZ-0108,Banking & Finance,Insurance,SME
BIZ-0109,Education,Vocational Training,Startup
BIZ-0110,Education,University,SME
BIZ-0111,Retail,Supermarket,Large Enterprise
BIZ-0112,Retail,Supermarket,Startup
BIZ-0113,Education,E-Learning,Large Enterprise
BIZ-0114,Healthcare,Diagnostic Center,Social Enterprise
BIZ-0115,Healthcare,Medical Supplies,Large Enterprise
BIZ-0116,Garments & RMG,Woven Factory,Large Enterprise
BIZ-0117,Fashion & Apparel,Footwear,SME
BIZ-0118,Real Estate,Housing Developer,Large Enterprise
BIZ-0119,Real Estate,Land Broker,Startup
BIZ-0120,Healthcare,Diagnostic Center,Startup
BIZ-0121,Retail,General Store,Large Enterprise
BIZ-0122,IT Services,Freelancing Agency,MNC
BIZ-0123,Telecom,Recharge Shop,Large Enterprise
BIZ-0124,Transportation,Courier Service,Social Enterprise
BIZ-0125,Fashion & Apparel,Accessories,SME
BIZ-0126,E-Commerce,Social Commerce,Social Enterprise
BIZ-0127,Banking & Finance,Insurance,Social Enterprise
BIZ-0128,Telecom,ISP,Startup
BIZ-0129,Retail,Grocery,Startup
BIZ-0130,Electronics,Home Appliances,Large Enterprise
BIZ-0131,Garments & RMG,Knit Factory,Startup
BIZ-0132,Real Estate,Property Management,Startup
BIZ-0133,Healthcare,Pharmacy,SME
BIZ-0134,Telecom,Device Reseller,Startup
BIZ-0135,IT Services,Web Development,Social Enterprise
BIZ-0136,Garments & RMG,Accessories Supplier,MNC
BIZ-0137,Retail,Convenience Store,Startup
BIZ-0138,IT Services,Software Company,SME
BIZ-0139,Real Estate,Commercial Space,SME
BIZ-0140,Fashion & Apparel,Accessories,Startup
BIZ-0141,Real Estate,Housing Developer,MNC
BIZ-0142,Electronics,Computer Store,Large Enterprise
BIZ-0143,Food & Beverage,Restaurant,Large Enterprise
BIZ-0144,Real Estate,Commercial Space,Startup
BIZ-0145,Agriculture,Fish Farm,Large Enterprise
BIZ-0146,Garments & RMG,Woven Factory,Social Enterprise
BIZ-0147,Real Estate,Property Management,Large Enterprise
BIZ-0148,Healthcare,Clinic,Startup
BIZ-0149,Fashion & Apparel,Garments,Social Enterprise
BIZ-0150,Retail,Grocery,MNC
BIZ-0151,E-Commerce,Social Commerce,SME
BIZ-0152,E-Commerce,Online Marketplace,Startup
BIZ-0153,Real Estate,Commercial Space,Large Enterprise
BIZ-0154,Retail,Grocery,Large Enterprise
BIZ-0155,Food & Beverage,Bakery,Startup
BIZ-0156,Telecom,Recharge Shop,Startup
BIZ-0157,Education,Coaching Center,Startup
BIZ-0158,Fashion & Apparel,Footwear,MNC
BIZ-0159,Education,E-Learning,Startup
BIZ-0160,Garments & RMG,Export Garments,SME
BIZ-0161,Fashion & Apparel,Footwear,Social Enterprise
BIZ-0162,IT Services,Web Development,Large Enterprise
BIZ-0163,Real Estate,Land Broker,Large Enterprise
BIZ-0164,Banking & Finance,MFI,MNC
BIZ-0165,Transportation,Logistics,MNC
BIZ-0166,Real Estate,Commercial Space,Social Enterprise
BIZ-0167,Food & Beverage,Tea Stall,Large Enterprise
BIZ-0168,Healthcare,Medical Supplies,Social Enterprise
BIZ-0169,E-Commerce,D2C Brand,Social Enterprise
BIZ-0170,Food & Beverage,Fast Food,Large Enterprise
BIZ-0171,Transportation,Logistics,SME
BIZ-0172,Real Estate,Property Management,MNC
BIZ-0173,Transportation,Courier Service,Large Enterprise
BIZ-0174,Retail,Supermarket,MNC
BIZ-0175,Fashion & Apparel,Footwear,Large Enterprise
BIZ-0176,Telecom,Mobile Operator,Social Enterprise
BIZ-0177,Fashion & Apparel,Readymade Clothing,SME
BIZ-0178,Agriculture,Seed Company,Startup
BIZ-0179,Garments & RMG,Woven Factory,Startup
BIZ-0180,Banking & Finance,Insurance,MNC
BIZ-0181,Agriculture,Seed Company,MNC
BIZ-0182,Retail,General Store,MNC
BIZ-0183,Food & Beverage,Tea Stall,MNC
BIZ-0184,Education,University,Large Enterprise
BIZ-0185,Banking & Finance,Investment Firm,Large Enterprise
BIZ-0186,IT Services,Digital Marketing,Startup
BIZ-0187,E-Commerce,B2C Platform,Large Enterprise
BIZ-0188,Fashion & Apparel,Footwear,Startup
BIZ-0189,E-Commerce,Online Marketplace,Large Enterprise
BIZ-0190,Transportation,Ride Sharing,Large Enterprise
BIZ-0191,IT Services,Web Development,Startup
BIZ-0192,Electronics,Computer Store,Startup
BIZ-0193,Garments & RMG,Accessories Supplier,Large Enterprise
BIZ-0194,Food & Beverage,Restaurant,SME
BIZ-0195,Banking & Finance,Bank,SME
BIZ-0196,Garments & RMG,Knit Factory,Large Enterprise
BIZ-0197,Retail,Supermarket,SME
BIZ-0198,E-Commerce,D2C Brand,Startup
BIZ-0199,E-Commerce,B2C Platform,Startup
BIZ-0200,Agriculture,Agro Processing,MNC
BIZ-0201,Healthcare,Medical Supplies,SME
BIZ-0202,Telecom,ISP,Social Enterprise
BIZ-0203,IT Services,Freelancing Agency,Large Enterprise
BIZ-0204,IT Services,Web Development,MNC
BIZ-0205,Agriculture,Fish Farm,Startup
BIZ-0206,Banking & Finance,MFI,Large Enterprise
BIZ-0207,Transportation,Ride Sharing,MNC
BIZ-0208,Banking & Finance,Investment Firm,Startup
BIZ-0209,Real Estate,Land Broker,MNC
BIZ-0210,E-Commerce,Social Commerce,MNC
BIZ-0211,Agriculture,Fish Farm,MNC
BIZ-0212,Fashion & Apparel,Garments,Large Enterprise
BIZ-0213,Garments & RMG,Export Garments,MNC
BIZ-0214,Agriculture,Fertilizer Dealer,Social Enterprise
BIZ-0215,Retail,Convenience Store,Social Enterprise
BIZ-0216,Retail,Grocery,SME
BIZ-0217,Agriculture,Agro Processing,Large Enterprise
BIZ-0218,Telecom,Recharge Shop,Social Enterprise
BIZ-0219,Food & Beverage,Tea Stall,SME
BIZ-0220,Healthcare,Diagnostic Center,Large Enterprise
BIZ-0221,Retail,Supermarket,Social Enterprise
BIZ-0222,Agriculture,Fertilizer Dealer,Startup
BIZ-0223,Banking & Finance,Investment Firm,MNC
BIZ-0224,Garments & RMG,Woven Factory,MNC
BIZ-0225,Food & Beverage,Tea Stall,Startup
BIZ-0226,Telecom,Mobile Operator,Large Enterprise
BIZ-0227,Garments & RMG,Knit Factory,MNC
BIZ-0228,Education,Vocational Training,MNC
BIZ-0229,Education,Coaching Center,MNC
BIZ-0230,Education,Vocational Training,Social Enterprise
BIZ-0231,Food & Beverage,Fast Food,MNC
BIZ-0232,Transportation,Freight,Social Enterprise
BIZ-0233,Electronics,Mobile Shop,Startup
BIZ-0234,Real Estate,Housing Developer,Social Enterprise
BIZ-0235,Food & Beverage,Bakery,Large Enterprise
BIZ-0236,E-Commerce,D2C Brand,MNC
BIZ-0237,Agriculture,Seed Company,Large Enterprise
BIZ-0238,Electronics,Electronics Accessories,Social Enterprise
BIZ-0239,Banking & Finance,Insurance,Large Enterprise
BIZ-0240,Electronics,Mobile Shop,MNC
BIZ-0241,Transportation,Courier Service,MNC
BIZ-0242,IT Services,Digital Marketing,MNC
BIZ-0243,E-Commerce,D2C Brand,Large Enterprise
BIZ-0244,Telecom,Device Reseller,Large Enterprise
BIZ-0245,Electronics,Computer Store,MNC
BIZ-0246,Food & Beverage,Tea Stall,Social Enterprise
BIZ-0247,Food & Beverage,Fast Food,Social Enterprise
BIZ-0248,Healthcare,Pharmacy,Large Enterprise
BIZ-0249,Banking & Finance,MFI,Startup
BIZ-0250,Healthcare,Pharmacy,Social Enterprise
BIZ-0251,Retail,Departmental Store,Social Enterprise
BIZ-0252,Agriculture,Fertilizer Dealer,MNC
BIZ-0253,Agriculture,Fertilizer Dealer,Large Enterprise
BIZ-0254,Real Estate,Land Broker,Social Enterprise
BIZ-0255,Fashion & Apparel,Accessories,Social Enterprise
BIZ-0256,Agriculture,Seed Company,Social Enterprise
BIZ-0257,Banking & Finance,Insurance,Startup
BIZ-0258,Education,University,Social Enterprise
BIZ-0259,Electronics,Computer Store,Social Enterprise
BIZ-0260,Fashion & Apparel,Accessories,MNC
BIZ-0261,Garments & RMG,Accessories Supplier,Social Enterprise
BIZ-0262,Agriculture,Agro Processing,Social Enterprise
BIZ-0263,Garments & RMG,Accessories Supplier,Startup
BIZ-0264,IT Services,Digital Marketing,Social Enterprise
BIZ-0265,Education,E-Learning,MNC
BIZ-0266,Banking & Finance,Bank,Social Enterprise
BIZ-0267,Education,University,MNC
BIZ-0268,Retail,Convenience Store,MNC
BIZ-0269,Garments & RMG,Knit Factory,Social Enterprise
BIZ-0270,Food & Beverage,Restaurant,MNC
BIZ-0271,Transportation,Logistics,Social Enterprise
BIZ-0272,Electronics,Electronics Accessories,MNC
BIZ-0273,Food & Beverage,Restaurant,Social Enterprise
BIZ-0274,Electronics,Home Appliances,MNC
BIZ-0275,Garments & RMG,Export Garments,Social Enterprise
BIZ-0276,Fashion & Apparel,Garments,MNC
BIZ-0277,Transportation,Ride Sharing,Social Enterprise
BIZ-0278,Banking & Finance,Bank,MNC
BIZ-0279,Telecom,Device Reseller,MNC
BIZ-0280,Food & Beverage,Bakery,Social Enterprise
BIZ-0281,Education,E-Learning,Social Enterprise
BIZ-0282,Telecom,Device Reseller,Social Enterprise
BIZ-0283,Transportation,Freight,MNC
BIZ-0284,E-Commerce,Online Marketplace,MNC
BIZ-0285,Healthcare,Medical Supplies,MNC
BIZ-0286,Retail,Departmental Store,MNC
BIZ-0287,Healthcare,Clinic,Social Enterprise
BIZ-0288,E-Commerce,B2C Platform,Social Enterprise
BIZ-0289,Electronics,Home Appliances,Social Enterprise
BIZ-0290,Food & Beverage,Bakery,MNC
